,carat,cut,color,clarity,depth,table,price,x,y,z,set
19803,1,Ideal,G,VVS1,61.9,57,8366,6.43,6.39,3.97,1
19804,1.52,Premium,D,SI2,58.6,62,8366,7.56,7.45,4.41,1
19805,1.73,Good,E,I1,63.6,59,8370,7.6,7.56,4.82,1
19806,1.51,Premium,J,VS1,62.1,58,8371,7.36,7.4,4.58,1
19807,1.5,Ideal,I,SI1,62.3,56,8371,7.35,7.41,4.6,1
19808,1.51,Very Good,H,SI2,60.8,56,8372,7.41,7.46,4.52,1
19809,1.01,Very Good,G,VVS1,61.8,59,8373,6.47,6.41,3.98,1
19810,1,Good,D,VVS2,60.2,62,8374,6.42,6.46,3.88,1
19811,1.03,Very Good,F,VVS2,61.3,57,8375,6.49,6.53,3.99,1
19812,1.22,Very Good,G,VS2,62.7,58,8377,6.8,6.72,4.24,1
19813,1.6,Ideal,I,SI2,61.9,57,8377,7.48,7.51,4.64,1
19814,1.6,Very Good,F,SI2,60.5,60,8377,7.52,7.55,4.56,1
19815,1.2,Good,E,VS2,63.6,57,8380,6.74,6.68,4.27,1
19816,1.23,Premium,G,VS1,62.8,56,8381,6.86,6.81,4.29,1
19817,1.23,Premium,G,VS1,61.8,58,8381,6.88,6.84,4.24,1
19818,1.75,Good,H,SI2,64.1,56,8385,7.59,7.55,4.85,1
19819,1.03,Ideal,G,VVS2,60.7,57,8385,6.5,6.58,3.97,1
19820,1.33,Ideal,H,VS2,59.5,57,8385,7.18,7.23,4.29,1
19822,1.51,Fair,F,SI1,65.8,56,8387,7.16,7.12,4.7,1
19823,1.51,Premium,H,SI2,62.4,58,8388,7.36,7.31,4.58,1
19824,1.5,Very Good,J,VVS2,63.3,56,8391,7.18,7.29,4.58,1
19825,1.31,Ideal,H,VS1,62.4,56,8392,7,6.98,4.36,1
19826,1.07,Ideal,G,VVS2,62.4,54,8393,6.51,6.56,4.08,1
19827,1.12,Ideal,G,VS1,62.5,54,8394,6.65,6.69,4.17,1
19828,1.51,Ideal,I,SI1,61.2,60,8396,7.39,7.37,4.52,1
19830,1.7,Premium,F,SI2,60.2,61,8397,7.79,7.68,4.66,1
19831,1.03,Ideal,G,VVS1,62,56,8398,6.54,6.5,4.04,1
19832,1.5,Premium,F,SI1,60,60,8400,7.48,7.42,4.47,1
19833,1.51,Ideal,I,SI1,62.7,57,8400,7.35,7.3,4.59,1
19834,1.11,Ideal,G,VS2,61.6,56,8400,6.62,6.65,4.09,1
19835,1,Premium,F,VVS2,61.2,60,8400,6.43,6.38,3.92,1
19836,1.25,Ideal,E,VS2,62.6,56,8400,6.89,6.84,4.3,1
19837,1.01,Very Good,E,VVS2,61.6,58,8401,6.4,6.46,3.96,1
19839,1.02,Ideal,G,VVS2,61.6,57,8401,6.45,6.47,3.98,1
19840,1.02,Ideal,G,VVS2,62.7,57,8401,6.41,6.45,4.03,1
19841,1.21,Premium,G,VS2,62.8,59,8402,6.84,6.76,4.27,1
19842,1.21,Very Good,F,VS2,62.9,54,8403,6.78,6.82,4.28,1
19843,1.01,Very Good,E,VS1,60.4,60,8403,6.43,6.48,3.9,1
19847,1.12,Very Good,G,VVS1,60.9,57,8408,6.67,6.72,4.08,1
19848,1.52,Very Good,H,SI2,62.8,58,8408,7.25,7.3,4.57,1
19851,1.54,Premium,E,SI2,59.9,60,8408,7.49,7.38,4.46,1
19852,1.18,Very Good,G,VS2,62.7,54.7,8411,6.74,6.77,4.23,1
19853,1.22,Ideal,H,VS1,61.9,54,8411,6.88,6.9,4.26,1
19854,1.06,Ideal,E,VS1,62.1,57,8413,6.49,6.52,4.04,1
19856,1.18,Ideal,G,VS1,61.3,56,8414,6.81,6.83,4.17,1
19857,1.01,Good,E,VVS2,63.9,58,8415,6.31,6.37,4.05,1
19858,1.5,Very Good,J,VVS1,62.3,62,8415,7.16,7.23,4.48,1
19859,1.06,Very Good,G,IF,61.2,57,8415,6.52,6.56,4,1
19860,1.04,Ideal,F,VS2,61.6,56,8415,6.53,6.55,4.03,1
19861,1.19,Ideal,F,VS2,62,57,8415,6.78,6.76,4.2,1
19862,1.3,Ideal,G,SI1,61.6,55,8416,7.01,7.05,4.33,1
19865,1.6,Ideal,J,SI1,62.8,55,8418,7.48,7.42,4.68,1
19866,1.57,Very Good,G,SI2,61.1,61,8419,7.43,7.46,4.55,1
19867,2.68,Premium,G,I1,58.6,60,8419,9.11,9.07,5.33,1
19868,1.4,Premium,D,SI2,61.8,54,8419,7.21,7.16,4.44,1
19869,1.46,Ideal,E,SI2,62.3,55,8421,7.29,7.25,4.53,1
19870,1.09,Ideal,F,VS1,60.6,57,8422,6.62,6.64,4.02,1
19871,1.37,Premium,H,VS1,60.9,59,8424,7.17,7.24,4.39,1
19872,1.44,Premium,I,VS1,62.6,59,8426,7.08,7.14,4.45,1
19874,1.52,Premium,J,VVS2,58.3,62,8427,7.61,7.49,4.4,1
19875,1.5,Very Good,J,VVS2,63.3,57,8427,7.28,7.25,4.6,1
19876,1.31,Ideal,H,VS1,61.5,56,8429,7,7.06,4.32,1
19877,1.31,Ideal,H,VS1,61.5,55,8429,7.02,7.05,4.33,1
19879,1.12,Good,F,VVS2,57.9,57,8430,6.86,6.83,3.96,1
19880,1.12,Ideal,D,VS2,62,55,8430,6.66,6.63,4.12,1
19881,1.23,Ideal,H,IF,61.3,57,8431,6.87,6.92,4.23,1
19882,1.5,Very Good,F,SI2,62.3,60,8431,7.29,7.34,4.56,1
19883,1.5,Premium,I,VS2,62.3,59,8431,7.24,7.3,4.53,1
19884,1.23,Premium,G,VS2,62,59,8431,6.87,6.8,4.24,1
19885,1.2,Very Good,F,VS2,61.1,59,8436,6.81,6.87,4.18,1
19887,1.03,Very Good,D,VS1,60.5,60,8437,6.52,6.57,3.96,1
19888,1.24,Very Good,H,VVS2,61.3,55,8438,6.94,6.96,4.26,1
19889,1.59,Good,G,SI1,63.8,56,8441,7.41,7.34,4.71,1
19891,1.2,Premium,G,VS1,60.2,60,8442,6.82,6.87,4.12,1
19892,1.2,Ideal,G,VS1,62.3,56,8442,6.77,6.82,4.23,1
19893,1.2,Very Good,G,VS1,60.2,60,8442,6.91,7,4.19,1
19894,1.2,Good,G,VS1,62.8,59,8442,6.64,6.7,4.19,1
19896,1.51,Very Good,H,SI2,60.2,59,8444,7.33,7.43,4.44,1
19897,1.02,Premium,F,VVS2,61.5,60,8445,6.5,6.45,3.98,1
19898,1.21,Premium,H,IF,62.2,58,8446,6.83,6.8,4.24,1
19899,1,Premium,F,VVS2,59.9,60,8448,6.46,6.5,3.88,1
19900,1.24,Premium,G,VS1,62,55,8449,6.95,6.89,4.29,1
19901,1.24,Ideal,G,VS1,61.1,57,8449,6.98,6.91,4.24,1
19902,1.05,Ideal,D,VS2,61,56,8451,6.54,6.61,4.01,1
19903,1.06,Ideal,G,VS1,62.3,55,8451,6.5,6.53,4.06,1
19904,1.21,Ideal,F,VS2,61.2,57,8452,6.87,6.82,4.19,1
19905,1.2,Very Good,F,VS2,62.9,55,8454,6.75,6.8,4.26,1
19906,1.03,Ideal,G,VVS1,62.4,57,8454,6.39,6.47,4.01,1
19908,1.53,Very Good,G,SI2,62.1,61,8455,7.28,7.3,4.53,1
19909,1.65,Ideal,E,SI2,58.7,56,8455,7.76,7.73,4.55,1
19910,1.21,Premium,G,VS1,59.5,58,8456,7.01,6.97,4.16,1
19911,1.21,Premium,G,VS1,62.7,58,8456,6.79,6.74,4.24,1
19912,1.24,Ideal,D,SI1,60.4,57,8457,6.95,7.02,4.22,1
19913,1.8,Premium,I,SI2,61.8,59,8457,7.9,7.8,4.85,1
19914,1.28,Premium,G,VS2,61.4,58,8458,7,6.92,4.27,1
19915,1.51,Very Good,F,SI2,63.2,60,8462,7.2,7.27,4.57,1
19916,1.27,Premium,D,SI1,62.5,58,8463,6.92,6.87,4.31,1
19917,1.51,Good,I,SI1,63.7,58,8464,7.26,7.22,4.61,1
19919,1.4,Premium,I,VVS2,62,58,8467,7.22,7.16,4.46,1
19921,1,Very Good,F,VVS2,63.2,56,8467,6.42,6.37,4.04,1
19922,2.5,Premium,H,I1,59.9,60,8467,8.75,8.67,5.22,1
19925,1.01,Premium,F,VVS2,61.8,59,8470,6.46,6.42,3.98,1
19927,1.5,Very Good,I,SI1,60.7,58,8475,7.34,7.4,4.47,1
19928,1.56,Premium,J,VS1,61.1,59,8476,7.52,7.49,4.58,1
19929,1.39,Premium,F,SI1,62.1,58,8476,7.1,7.16,4.43,1
19930,1.52,Premium,I,SI1,61.9,58,8477,7.37,7.42,4.58,1
19932,1.34,Premium,E,VS2,58.2,60,8480,7.26,7.21,4.21,1
19934,1.03,Ideal,G,VVS2,61.2,57,8483,6.48,6.52,3.98,1
19935,1.22,Ideal,G,VS2,59.9,56,8485,7.01,6.97,4.19,1
19936,1.02,Ideal,G,VVS1,62.6,56,8485,6.39,6.42,4.01,1
19937,1.23,Premium,F,VS2,62.9,58,8486,6.82,6.76,4.27,1
19938,1.2,Ideal,F,VS2,62.3,55,8486,6.83,6.79,4.24,1
19939,1.2,Ideal,F,VS2,62.6,56,8486,6.78,6.73,4.23,1
19940,1.66,Premium,J,SI1,60.7,58,8487,7.72,7.63,4.66,1
19941,1.06,Ideal,G,VVS1,61.6,57,8488,6.53,6.55,4.03,1
19944,1.5,Premium,H,SI2,62.3,60,8490,7.22,7.3,4.52,1
19945,1.2,Very Good,G,VS2,63.2,56,8491,6.82,6.75,4.29,1
19946,1.07,Ideal,G,VVS2,61.8,55,8491,6.57,6.61,4.07,1
19948,1.5,Good,E,SI2,64.5,58,8492,7.06,7.11,4.57,1
19949,1.66,Good,J,VS2,64.4,54,8496,7.45,7.54,4.83,1
19950,1.55,Ideal,J,VS2,61.4,55,8498,7.41,7.49,4.58,1
19951,1.25,Ideal,H,VS2,61.1,55,8498,6.94,6.97,4.25,1
19952,1.53,Premium,H,SI2,62.5,59,8499,7.4,7.36,4.61,1
19954,1.15,Premium,G,VVS2,58.4,59,8501,6.92,6.84,4.02,1
19955,1.32,Ideal,I,VVS1,61,56,8501,7.09,7.07,4.32,1
19956,1.21,Premium,G,VS2,61,58,8504,6.88,6.82,4.18,1
19957,1.24,Ideal,G,VS2,62.1,56,8504,6.87,6.91,4.28,1
19958,1.21,Very Good,F,VS2,61.6,58,8505,6.79,6.88,4.21,1
19959,1.7,Ideal,J,SI2,60.5,57,8505,7.74,7.84,4.71,1
19960,1.11,Ideal,H,VVS1,60.8,56,8508,6.68,6.76,4.08,1
19961,1.23,Ideal,H,VVS2,61.6,57,8509,6.87,6.92,4.25,1
19962,1.4,Premium,G,SI1,62.5,58,8511,7.12,7.06,4.43,1
19964,1.08,Very Good,D,VS1,60.5,58,8513,6.53,6.63,3.98,1
19965,1.59,Very Good,J,VS1,60.1,60,8515,7.56,7.59,4.55,1
19966,1.59,Very Good,J,VS1,60.7,59,8515,7.49,7.54,4.56,1
19967,1.56,Ideal,H,SI2,62.1,58,8517,7.35,7.41,4.58,1
19968,1.5,Good,D,SI2,62.4,61,8517,7.23,7.36,4.55,1
19969,1.56,Ideal,E,SI2,61.2,56,8518,7.53,7.49,4.59,1
19971,1.5,Good,D,SI2,63.8,58,8518,7.2,7.16,4.58,1
19973,1.16,Very Good,E,VS2,62.1,58,8520,6.63,6.7,4.14,1
19975,1.2,Good,D,VS2,62.4,60,8521,6.69,6.77,4.2,1
19976,1.23,Ideal,F,VS1,61.3,57,8523,6.86,6.93,4.23,1
19977,1.51,Premium,J,VS1,62.1,58,8524,7.4,7.36,4.58,1
19979,1.51,Premium,J,VS1,61.8,61,8524,7.26,7.21,4.47,1
19980,1.51,Ideal,J,VS1,61.9,56,8524,7.41,7.35,4.57,1
19981,1.01,Very Good,F,VVS2,61.9,56,8525,6.42,6.48,3.99,1
19982,1.59,Very Good,J,VS2,62.9,58.1,8526,7.39,7.45,4.66,1
19983,1.03,Premium,F,VVS2,61.3,57,8527,6.53,6.49,3.99,1
19984,1.11,Very Good,F,VS1,60.7,55,8528,6.69,6.71,4.07,1
19985,1.01,Fair,E,VVS1,66.1,55,8529,6.19,6.1,4.06,1
19986,1.42,Ideal,H,SI1,62,56,8529,7.17,7.22,4.46,1
19987,1.53,Ideal,G,SI1,61.3,57,8529,7.42,7.32,4.52,1
19988,1.6,Premium,F,SI2,60.5,60,8530,7.55,7.52,4.56,1
19990,1.6,Ideal,I,SI2,61.9,57,8530,7.51,7.48,4.64,1
19991,1.01,Ideal,F,VVS2,61,57,8532,6.46,6.52,3.96,1
19992,1.01,Very Good,F,VVS2,61.8,55,8532,6.36,6.45,3.96,1
19994,1.01,Ideal,F,VVS2,61.8,56,8532,6.46,6.49,4,1
19995,1.04,Premium,D,VS1,60.5,59,8532,6.62,6.58,3.99,1
19996,1.22,Good,G,VS2,59.9,61,8533,6.88,6.91,4.13,1
19997,1.54,Very Good,I,VS2,62,58,8537,7.38,7.43,4.59,1
19998,1.05,Very Good,F,VVS2,61.3,59,8537,6.48,6.56,4,1
19999,1.57,Very Good,J,VS2,62,58,8538,7.45,7.48,4.63,1
20001,1.71,Premium,J,SI2,62.6,57,8540,7.62,7.58,4.76,1
20003,1.51,Very Good,H,SI1,63.5,55,8541,7.31,7.22,4.61,1
20004,1.27,Ideal,G,VS1,60.9,57,8543,7.02,6.97,4.26,1
20005,1.35,Premium,H,VS1,62.3,58,8543,7.1,7.05,4.41,1
20007,1.2,Ideal,G,VS1,62,57,8545,6.78,6.81,4.21,1
20008,1.02,Ideal,E,VS1,62.6,56,8545,6.45,6.42,4.03,1
20009,1.05,Ideal,G,VVS1,60.1,57,8546,6.63,6.68,4,1
20012,0.32,Good,G,SI2,63.4,55,421,4.32,4.35,2.75,1
20015,0.32,Premium,I,SI1,61.1,59,421,4.38,4.42,2.69,1
20016,0.3,Very Good,H,SI1,62.9,58,421,4.22,4.24,2.66,1
20017,0.3,Very Good,H,SI1,60.8,61,421,4.25,4.3,2.6,1
20019,0.32,Premium,G,SI2,61,59,421,4.36,4.42,2.68,1
20020,0.3,Good,H,SI1,63.9,55,421,4.24,4.27,2.72,1
20022,0.32,Very Good,I,SI1,61.6,61,421,4.36,4.4,2.7,1
20023,0.32,Ideal,G,SI2,62.5,57,421,4.35,4.38,2.73,1
20024,0.32,Very Good,G,SI2,62.3,58,421,4.37,4.42,2.74,1
20026,0.32,Good,F,SI2,63.8,55,421,4.34,4.35,2.77,1
20027,0.32,Premium,F,SI2,59.7,59,421,4.43,4.48,2.66,1
20028,0.3,Very Good,E,SI2,61.9,58,421,4.28,4.31,2.66,1
20029,0.3,Very Good,H,SI1,61.2,62,421,4.28,4.31,2.63,1
20031,0.3,Very Good,H,SI1,62.9,56,421,4.28,4.31,2.7,1
20033,0.3,Very Good,H,SI1,59.5,62,421,4.32,4.35,2.58,1
20034,0.32,Premium,G,SI2,62.7,58,421,4.35,4.39,2.74,1
20035,0.3,Very Good,E,SI2,61.6,61,421,4.25,4.29,2.63,1
20036,0.3,Very Good,H,SI1,62.9,57,421,4.26,4.29,2.69,1
20037,0.3,Ideal,I,VS2,62.6,56,421,4.29,4.31,2.69,1
20038,0.3,Very Good,E,SI2,61.7,61,421,4.28,4.31,2.65,1
20039,0.3,Good,H,SI1,63.4,58,421,4.21,4.24,2.68,1
20040,0.3,Premium,H,SI1,59.3,59,421,4.36,4.38,2.59,1
20041,0.42,Ideal,H,SI2,62,54,625,4.83,4.85,3,1
20042,0.42,Ideal,H,SI2,61.4,56,625,4.81,4.86,2.97,1
20043,0.42,Ideal,H,SI2,62,54,625,4.81,4.83,2.99,1
20044,0.4,Ideal,H,SI2,62.6,55,625,4.73,4.76,2.97,1
20045,0.41,Ideal,E,SI2,61.8,54,625,4.78,4.8,2.96,1
20046,0.4,Ideal,D,SI2,62,55,625,4.71,4.77,2.94,1
20048,0.28,Ideal,E,VS1,61.4,56,625,4.24,4.2,2.59,1
20049,0.28,Ideal,D,VS2,62.4,57,625,4.2,4.16,2.61,1
20051,0.31,Premium,G,VS1,61.2,60,625,4.37,4.39,2.68,1
20052,0.31,Very Good,G,VS1,62.9,58,625,4.3,4.35,2.72,1
20053,0.31,Premium,F,VS2,61.2,58,625,4.35,4.37,2.67,1
20054,0.31,Ideal,F,VS2,62.3,55,625,4.3,4.33,2.69,1
20055,0.31,Ideal,H,VVS2,62.6,56,625,4.32,4.37,2.72,1
20057,0.31,Very Good,F,VS2,62.9,59,625,4.27,4.32,2.7,1
20058,0.31,Ideal,G,VS1,62.1,55,625,4.33,4.37,2.7,1
20059,0.31,Good,G,VS1,63.2,57,625,4.28,4.33,2.72,1
20060,0.31,Ideal,H,VVS2,62.2,57,625,4.32,4.36,2.7,1
20061,0.31,Very Good,F,VS2,62.9,58,625,4.27,4.31,2.7,1
20062,0.31,Very Good,G,VS1,63,57,625,4.28,4.32,2.71,1
20065,0.31,Ideal,F,VS2,62.6,55,625,4.29,4.33,2.7,1
20066,0.31,Ideal,F,VS2,60.8,56,625,4.38,4.41,2.67,1
20067,0.31,Good,G,VS1,63.8,57,625,4.29,4.33,2.75,1
20068,0.31,Ideal,H,VVS2,61.1,56,625,4.33,4.37,2.66,1
20070,0.31,Ideal,G,VS1,62.1,55,625,4.33,4.36,2.7,1
20071,1.27,Very Good,G,VS2,60.3,59,8549,6.97,7.09,4.24,1
20072,1.27,Premium,G,VS2,61,60,8549,6.93,6.97,4.24,1
20073,1.51,Very Good,J,VVS2,62.6,63,8550,7.24,7.29,4.55,1
20074,1.51,Good,D,SI2,64.1,61,8550,7.14,7.18,4.59,1
20075,1.45,Premium,H,VS1,60.6,60,8550,7.27,7.16,4.37,1
20076,1.01,Ideal,F,VS1,61.7,56,8552,6.48,6.45,3.99,1
20077,1,Very Good,F,VVS2,60,62,8553,6.43,6.46,3.87,1
20079,1.5,Ideal,I,SI1,59.4,60,8555,7.54,7.5,4.47,1
20080,1.5,Good,I,VS2,63.3,62,8555,7.08,7.19,4.52,1
20081,1.18,Ideal,G,VS1,61.9,56,8556,6.81,6.76,4.2,1
20082,1.21,Ideal,F,VS2,62.9,54,8557,6.82,6.78,4.28,1
20085,1.12,Premium,G,VVS1,60.9,57,8561,6.72,6.67,4.08,1
20086,1.37,Premium,H,VS2,62.5,59,8562,7.12,7.05,4.43,1
20087,1.2,Good,E,VS2,61.8,61,8563,6.69,6.71,4.14,1
20088,1.12,Very Good,G,VVS2,62.6,59,8564,6.58,6.61,4.13,1
20090,1.52,Premium,H,SI1,61.2,58,8566,7.53,7.43,4.57,1
20092,1.5,Premium,J,VVS1,62.3,62,8568,7.23,7.16,4.48,1
20093,1.01,Good,E,VVS2,63.9,58,8569,6.37,6.31,4.05,1
20094,1.57,Premium,G,SI2,61.1,61,8572,7.46,7.43,4.55,1
20095,1.41,Premium,G,SI1,62.1,59,8572,7.23,7.13,4.46,1
20097,1.26,Ideal,E,SI1,61.5,59,8574,6.92,6.96,4.27,1
20098,1.51,Very Good,G,SI2,63.2,55,8574,7.32,7.27,4.61,1
20099,1.51,Ideal,I,SI1,62.8,54,8574,7.31,7.27,4.58,1
20102,1.22,Premium,F,VS2,62,58,8576,6.86,6.89,4.26,1
20103,1.9,Fair,H,SI2,67.1,64,8576,7.57,7.52,5.06,1
20104,1.2,Very Good,G,VS1,61,59,8577,6.81,6.86,4.17,1
20105,1.37,Premium,H,VS1,60.9,59,8577,7.24,7.17,4.39,1
20106,1.01,Premium,F,VVS2,59.3,60,8579,6.52,6.5,3.86,1
20108,1.5,Good,I,SI1,64,60,8580,7.13,7.25,4.6,1
20110,1.5,Ideal,G,SI2,62,57,8580,7.26,7.31,4.52,1
20111,1.5,Premium,I,SI1,61.8,58,8580,7.26,7.3,4.5,1
20112,1.5,Very Good,G,SI2,58.5,62,8580,7.4,7.44,4.34,1
20113,1.25,Very Good,G,VS1,62.7,56,8580,6.81,6.93,4.31,1
20115,1.2,Premium,F,VS1,62.3,58,8580,6.78,6.71,4.2,1
20116,1.51,Very Good,F,SI2,62.7,60,8581,7.25,7.32,4.57,1
20117,1.29,Ideal,G,VS2,62.5,57,8582,6.89,6.92,4.35,1
20118,1.31,Ideal,H,VS1,61.5,55,8583,7.05,7.02,4.33,1
20119,1.31,Ideal,H,VS1,61.5,56,8583,7.06,7,4.32,1
20120,1.22,Premium,G,VS1,62.2,59,8583,6.82,6.87,4.26,1
20121,1.58,Premium,I,VS2,59.4,61,8583,7.66,7.63,4.54,1
20122,1.24,Ideal,G,VS1,61.9,54,8584,6.89,6.92,4.27,1
20124,1.64,Premium,I,SI2,61.3,58,8587,7.58,7.62,4.66,1
20126,1.5,Very Good,I,SI1,60.4,61,8590,7.35,7.39,4.45,1
20127,1.65,Premium,I,SI2,62,59,8590,7.61,7.54,4.7,1
20129,1.04,Ideal,G,VVS2,62.5,55,8590,6.53,6.47,4.06,1
20130,1.1,Very Good,G,IF,60.5,55,8592,6.77,6.71,4.08,1
20131,1.15,Ideal,G,VVS2,62.5,53,8592,6.69,6.72,4.18,1
20132,1.12,Ideal,G,VVS2,62.5,56,8592,6.59,6.66,4.14,1
20133,1.55,Premium,J,VS1,62.6,59,8593,7.35,7.4,4.62,1
20134,1.55,Premium,H,VS1,60.8,60,8593,7.54,7.5,4.57,1
20135,1.57,Premium,J,VS1,61.3,59,8595,7.44,7.47,4.57,1
20136,1.2,Premium,G,VS1,61.4,60,8596,6.86,6.81,4.2,1
20137,1.22,Ideal,H,VS2,61.3,56,8596,6.85,6.88,4.21,1
20138,1.2,Ideal,G,VS1,62.4,57,8596,6.74,6.82,4.23,1
20139,1.2,Ideal,G,VS1,62.3,56,8596,6.82,6.77,4.23,1
20140,1.2,Premium,G,VS1,60.2,60,8596,7,6.91,4.19,1
20141,1.2,Very Good,G,VS1,63.4,56,8596,6.74,6.7,4.26,1
20142,1.29,Premium,D,SI1,62.7,55,8597,6.96,6.91,4.35,1
20143,1.51,Premium,H,SI2,60.2,59,8598,7.43,7.33,4.44,1
20144,1.43,Ideal,G,SI1,62.8,57,8599,7.17,7.12,4.49,1
20145,1.2,Premium,E,VS2,62.2,59,8602,6.82,6.78,4.23,1
20146,1.2,Premium,G,VS1,62.4,58,8602,6.82,6.8,4.25,1
20147,1,Premium,F,VVS2,59.9,60,8602,6.5,6.46,3.88,1
20148,1,Premium,F,VVS2,61.3,55,8602,6.44,6.41,3.94,1
20149,1.2,Premium,G,VS1,62.8,58,8602,6.84,6.75,4.27,1
20150,1.5,Premium,J,VVS2,61.8,60,8603,7.33,7.36,4.54,1
20151,1.52,Ideal,J,VS1,62.3,58,8608,7.32,7.35,4.57,1
20152,1.03,Ideal,G,VVS1,62.4,57,8608,6.47,6.39,4.01,1
20153,1.22,Ideal,G,VS1,62.5,57,8608,6.82,6.77,4.25,1
20154,1.65,Ideal,J,SI1,62.2,54,8610,7.52,7.59,4.7,1
20155,1.04,Premium,F,VVS2,62.1,56,8610,6.54,6.48,4.04,1
20156,1.31,Ideal,I,VS1,61.8,55,8611,7.03,7.05,4.35,1
20158,1.5,Ideal,H,SI2,62.8,55,8614,7.27,7.31,4.58,1
20159,1.21,Premium,G,VS1,62.7,58,8616,6.76,6.85,4.27,1
20163,1.06,Ideal,F,VVS2,61.1,57,8619,6.57,6.62,4.03,1
20164,1.58,Very Good,H,SI2,62.4,57,8620,7.36,7.45,4.62,1
20165,1.52,Ideal,H,SI2,62,60,8620,7.31,7.37,4.55,1
20166,1.01,Very Good,G,IF,62.8,57,8621,6.39,6.42,4.02,1
20167,1.5,Very Good,J,VVS2,62.9,58,8622,7.25,7.31,4.58,1
20168,1.05,Ideal,G,VVS1,60.1,57,8623,6.58,6.63,3.97,1
20169,1.03,Premium,D,VVS2,61.7,59,8623,6.48,6.43,3.98,1
20170,1.4,Premium,H,SI1,60.5,60,8624,7.22,7.16,4.35,1
20171,1.02,Very Good,G,IF,62.3,59,8624,6.36,6.45,3.99,1
20172,1.4,Good,D,SI1,63.8,60,8624,7.01,6.95,4.45,1
20173,1.06,Ideal,G,VVS2,60.1,57,8626,6.61,6.66,3.99,1
20174,1.02,Very Good,F,VVS2,59.4,59,8627,6.58,6.69,3.94,1
20175,1.5,Fair,G,SI1,65.5,58,8627,7.16,7.12,4.68,1
20176,1.29,Very Good,H,VS1,60.8,58,8629,7.01,7.04,4.27,1
20177,1.21,Ideal,F,VS1,62.2,54.9,8629,6.79,6.84,4.24,1
20178,1.03,Ideal,E,VS1,61.9,57,8629,6.46,6.44,4,1
20181,1.6,Premium,I,SI2,60.8,58,8630,7.59,7.51,4.59,1
20182,1.51,Premium,H,VS2,58.7,61,8630,7.51,7.45,4.39,1
20183,1.52,Premium,D,SI2,62.8,58,8631,7.37,7.28,4.6,1
20184,1.52,Premium,I,SI1,61.9,58,8631,7.42,7.37,4.58,1
20186,1.52,Ideal,D,SI2,62.7,56,8631,7.35,7.28,4.59,1
20187,1.22,Very Good,G,VS1,62.2,58,8633,6.75,6.81,4.22,1
20188,1.12,Premium,D,VS1,62.1,57,8633,6.68,6.65,4.14,1
20189,1.51,Very Good,G,SI2,60.5,54.6,8637,7.36,7.4,4.46,1
20190,1.51,Very Good,I,SI1,62.2,60,8637,7.23,7.3,4.52,1
20192,1.04,Ideal,G,VVS1,62.2,55,8637,6.48,6.51,4.04,1
20194,1.51,Ideal,G,SI2,60.8,57,8637,7.39,7.44,4.51,1
20195,1.51,Very Good,I,SI1,62.6,60,8637,7.27,7.34,4.57,1
20196,1.02,Ideal,F,VS1,62,57,8637,6.49,6.44,4.01,1
20197,1.53,Ideal,I,SI2,61.9,58,8637,7.39,7.34,4.56,1
20198,1,Very Good,E,VVS2,61,62,8638,6.4,6.46,3.92,1
20200,2.02,Premium,J,SI2,63,58,8640,8.07,8.02,5.07,1
20201,1.07,Ideal,F,VS2,61.7,57,8640,6.52,6.54,4.03,1
20202,1.57,Ideal,G,SI2,62,56,8643,7.44,7.47,4.62,1
20204,1.06,Ideal,G,VVS1,61.6,57,8643,6.55,6.53,4.03,1
20205,1.35,Very Good,H,VVS2,63.1,56,8644,6.95,7.03,4.41,1
20206,1.55,Very Good,I,SI1,62,62,8644,7.33,7.47,4.59,1
20207,1.28,Very Good,H,VS1,61.2,55,8645,6.98,7.04,4.29,1
20208,1.05,Ideal,G,VVS2,62.2,56,8645,6.49,6.53,4.05,1
20210,1.05,Ideal,G,VVS2,61.9,57,8645,6.51,6.54,4.04,1
20211,1.03,Ideal,D,VS1,62.6,57,8645,6.44,6.5,4.05,1
20212,1.5,Premium,H,SI2,62.3,60,8645,7.3,7.22,4.52,1
20213,1.16,Ideal,G,VVS2,62,56,8646,6.71,6.75,4.17,1
20214,1.01,Good,F,VVS2,60.3,62,8647,6.47,6.54,3.92,1
20215,1.01,Ideal,G,VVS1,61.1,56,8647,6.51,6.49,3.97,1
20216,1.17,Ideal,F,VS1,62.2,56,8648,6.74,6.77,4.2,1
20217,1.5,Premium,D,SI2,61.9,58,8649,7.34,7.27,4.52,1
20218,1.09,Very Good,G,IF,62.9,57,8650,6.52,6.58,4.12,1
20219,1.27,Ideal,H,VS1,61.4,56,8652,6.95,6.97,4.27,1
20220,1.54,Premium,J,VVS2,61.1,59,8652,7.45,7.4,4.54,1
20221,1.74,Premium,H,SI1,61.6,59,8653,7.7,7.62,4.72,1
20222,1.41,Premium,H,VS2,61.2,60,8654,7.17,7.21,4.4,1
20223,1.43,Very Good,H,SI1,61.7,59,8654,7.23,7.29,4.48,1
20224,1.53,Very Good,E,SI2,63.1,59,8654,7.38,7.21,4.61,1
20225,1.04,Very Good,G,IF,60.7,58,8655,6.52,6.65,4,1
20226,1.54,Very Good,I,VS2,62.2,58,8656,7.32,7.37,4.57,1
20227,1.02,Ideal,D,VS1,61.2,56,8658,6.48,6.53,3.98,1
